transaction_amount,transaction_frequency,error_rate,latency_ms
467.7837138762011,84.93324972648368,2.744218804735817,211.25191727958034
1204.8362669822423,65.27017528979253,7.609244516166671,341.6948628365587
481.7401911767302,51.09274908979563,3.975989707351698,187.90234701083438
537.1060951648888,38.95122681610928,4.342133269787313,188.84716345044367
546.9723542216898,20.587215511815867,3.7525548868653753,247.41707629615462
567.9539490834167,31.190145801462908,4.246119607405332,194.76217843799094
541.7043905183835,54.0254392897701,3.987889963012987,225.97604640135356
576.6055043313376,59.54557287457497,2.845120899788345,169.1662460220623
464.2783040171317,53.49345837795968,3.4615610332846627,250.2838451478484
580.4014250136994,16.91785195762584,2.6794598844728514,238.08740405603544
503.7729303001563,48.490060492961724,3.9678646518855674,262.74973996826725
555.7559282077447,74.45476221996464,4.321231376830952,251.08077199053213
468.157725027642,48.95458933826501,2.819740778109967,207.73491100665416
495.11346331544854,36.313297084698426,3.9529805616207097,196.2261222324699
565.015437068678,55.45564794475206,3.7752458023004003,240.55102964452303
640.7396686878781,44.97585911364896,3.708388703120786,222.48558097228556
501.62414451301015,52.36379103217106,3.1494830309875783,225.02430186381233
612.0347305291465,55.37870533971429,3.229429384681103,177.82803653788733
479.3864334280645,59.2076548487776,2.8193931270090964,188.83255871111794
516.3724742367308,40.360684450285184,2.7801410819161543,223.2167054982282
1145.9013301444063,42.65060978868765,5.563314652145079,347.6596672187299
458.0571047462254,64.57415693414498,3.775158143646423,242.5095435607223
483.8460022031556,26.616814799253394,2.741868396551178,177.0896014822793
513.3251559414622,35.8997592305781,4.314835483271036,224.79945316462675
585.3347191622656,55.323086987841485,3.308719440285069,187.58438431046943
570.4900376833793,56.73075900089322,3.959204755580412,187.82443760687903
536.9098537812924,44.41311506041774,3.245545363057633,216.74560258683675
518.7902882554141,49.17869182381628,3.6521473464604117,217.60596530656028
549.5477287304939,56.88567424376263,4.382374880842312,205.17005787325473
364.8444826570994,58.381948448438656,2.893301382163505,219.05235448698346
1257.7007519451122,29.16253503608537,6.443833796879298,414.2988031509643
526.0794521260007,60.34004828593659,4.04871427089481,191.89986296247014
554.9154352766418,75.03185155272729,2.5465051378399766,190.05019759144818
576.6788277066913,38.98243022483138,2.6634368979932113,184.7927421304713
492.039444219444,39.28617982717192,3.3054056853427594,182.87843571275917
598.6387670925866,42.51079709960503,2.6762807277629426,222.88568427779552
509.64686715090306,44.00935412652938,3.619591248418662,198.97554881946832
536.7836770731685,67.21850980439449,2.8952918352485675,221.08631118345036
517.2265234859927,47.021371784138886,4.344910069944277,207.70607863102111
498.36868385997633,55.98001432594475,4.142938955621429,224.26470615961665
641.6357468945453,29.224830322016818,4.035531423731064,263.3960450655923
510.8436127611042,64.38953620915431,3.634388065447968,250.27970936682556
472.3856436644146,37.72169207251358,4.279529216524688,248.27887334401157
566.8162745221516,48.611111432419705,2.933953727643727,198.68999281704401
555.754233487084,61.58120202529285,4.236994265065127,254.99115413460783
543.6126362137026,17.71330100915232,4.119167182251505,218.6358420217478
486.38732729214644,44.646411823567576,4.037087278137866,205.07958998284988
640.6405084743262,30.626147947926878,3.6753881667290056,221.92506732545436
598.86946209201,47.9018739598628,2.8867412027216193,225.26468803192884
702.2605005500785,41.23049696781288,3.272114691267147,243.08859242285817
